function,bufferSize,P+K,idx,time
putfourcond,100,10,42,5.4990002E7
putfourcond,100,10,43,8.8833246E7
putfourcond,100,10,44,5.3486572E7
putfourcond,100,10,45,2.1168053E7
putfourcond,100,10,46,3.9259162E7
putfourcond,100,10,47,1.7319391E7
putfourcond,100,10,48,3.8613042E7
putfourcond,100,10,49,8.5672759E7
putfourcond,100,10,50,4.0869643E7
putfourcond,100,10,51,4.2495277E7
putfourcond,100,10,52,2.7573125E7
putfourcond,100,10,53,4.4757018E7
putfourcond,100,10,54,1.223427E7
putfourcond,100,10,55,2.0014314E7
putfourcond,100,10,56,6.2338459E7
putfourcond,100,10,57,4111310.0
putfourcond,100,10,58,2.4673455E7
putfourcond,100,10,59,4.6736307E7
putfourcond,100,10,60,1.8631992E7
putfourcond,100,10,61,7259841.0
putfourcond,100,10,62,1.1598496E7
putfourcond,100,10,63,3.70237E7
putfourcond,100,10,64,3.4853941E7
putfourcond,100,10,65,4.302065E7
putfourcond,100,10,66,3.8085777E7
putfourcond,100,10,67,6.2991111E7
putfourcond,100,10,68,5.7684318E7
putfourcond,100,10,69,1.582519E7
putfourcond,100,10,70,1.6274249E7
putfourcond,100,10,71,2.5464264E7
putfourcond,100,10,72,4.7113825E7
putfourcond,100,10,73,3.7024017E7
putfourcond,100,10,74,5.3119586E7
putfourcond,100,10,75,3.3744038E7
putfourcond,100,10,76,3.5358125E7
putfourcond,100,10,77,2.7880014E7
putfourcond,100,10,78,2.1356127E7
putfourcond,100,10,79,4.8171971E7
putfourcond,100,10,80,1.8646848E7
putfourcond,100,10,81,2.4670995E7
putfourcond,100,10,82,7.4505985E7
putfourcond,100,10,83,3975371.0
putfourcond,100,10,84,2.766666E7
putfourcond,100,10,85,5.5333116E7
putfourcond,100,10,86,1.6094363E7
putfourcond,100,10,87,7.28469E7
putfourcond,100,10,88,4.8392141E7
putfourcond,100,10,89,2.5197946E7
putfourcond,100,10,90,1.5299798E7
putfourcond,100,10,91,7609964.0
putfourcond,100,10,92,1.18478379E8
putfourcond,100,10,93,4.2139223E7
putfourcond,100,10,94,6.1913519E7
putfourcond,100,10,95,4.4217533E7
putfourcond,100,10,96,3.6984514E7
putfourcond,100,10,97,5.4616814E7
putfourcond,100,10,98,9744450.0
putfourcond,100,10,99,6.9150045E7
