bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,meanTime
TWOCOND,RANDOMRANDOM,take,100,10,90,166886.0
TWOCOND,RANDOMRANDOM,take,100,10,91,168714.0
TWOCOND,RANDOMRANDOM,take,100,10,92,169714.0
TWOCOND,RANDOMRANDOM,take,100,10,93,172316.0
TWOCOND,RANDOMRANDOM,take,100,10,94,175616.0
TWOCOND,RANDOMRANDOM,take,100,10,95,176288.0
TWOCOND,RANDOMRANDOM,take,100,10,96,180498.0
TWOCOND,RANDOMRANDOM,take,100,10,97,180377.0
TWOCOND,RANDOMRANDOM,take,100,10,98,181619.0
TWOCOND,RANDOMRANDOM,take,100,10,99,184281.0
TWOCOND,RANDOMRANDOM,put,100,10,1,1721.0
TWOCOND,RANDOMRANDOM,put,100,10,2,2841.0
TWOCOND,RANDOMRANDOM,put,100,10,3,3875.0
TWOCOND,RANDOMRANDOM,put,100,10,4,5306.0
TWOCOND,RANDOMRANDOM,put,100,10,5,6174.0
TWOCOND,RANDOMRANDOM,put,100,10,6,7543.0
TWOCOND,RANDOMRANDOM,put,100,10,7,8502.0
TWOCOND,RANDOMRANDOM,put,100,10,8,9644.0
TWOCOND,RANDOMRANDOM,put,100,10,9,10799.0
TWOCOND,RANDOMRANDOM,put,100,10,10,12238.0
TWOCOND,RANDOMRANDOM,put,100,10,11,13093.0
TWOCOND,RANDOMRANDOM,put,100,10,12,14479.0
TWOCOND,RANDOMRANDOM,put,100,10,13,15645.0
TWOCOND,RANDOMRANDOM,put,100,10,14,16674.0
TWOCOND,RANDOMRANDOM,put,100,10,15,18351.0
TWOCOND,RANDOMRANDOM,put,100,10,16,19319.0
TWOCOND,RANDOMRANDOM,put,100,10,17,21267.0
TWOCOND,RANDOMRANDOM,put,100,10,18,21811.0
TWOCOND,RANDOMRANDOM,put,100,10,19,23482.0
TWOCOND,RANDOMRANDOM,put,100,10,20,24628.0
TWOCOND,RANDOMRANDOM,put,100,10,21,25624.0
TWOCOND,RANDOMRANDOM,put,100,10,22,27535.0
TWOCOND,RANDOMRANDOM,put,100,10,23,28563.0
TWOCOND,RANDOMRANDOM,put,100,10,24,30425.0
TWOCOND,RANDOMRANDOM,put,100,10,25,31883.0
TWOCOND,RANDOMRANDOM,put,100,10,26,32948.0
TWOCOND,RANDOMRANDOM,put,100,10,27,34612.0
TWOCOND,RANDOMRANDOM,put,100,10,28,36517.0
TWOCOND,RANDOMRANDOM,put,100,10,29,37001.0
TWOCOND,RANDOMRANDOM,put,100,10,30,38802.0
TWOCOND,RANDOMRANDOM,put,100,10,31,40173.0
TWOCOND,RANDOMRANDOM,put,100,10,32,41986.0
TWOCOND,RANDOMRANDOM,put,100,10,33,43817.0
TWOCOND,RANDOMRANDOM,put,100,10,34,44926.0
TWOCOND,RANDOMRANDOM,put,100,10,35,46880.0
TWOCOND,RANDOMRANDOM,put,100,10,36,47887.0
TWOCOND,RANDOMRANDOM,put,100,10,37,49643.0
TWOCOND,RANDOMRANDOM,put,100,10,38,51795.0
TWOCOND,RANDOMRANDOM,put,100,10,39,54131.0
TWOCOND,RANDOMRANDOM,put,100,10,40,55404.0
TWOCOND,RANDOMRANDOM,put,100,10,41,57190.0
TWOCOND,RANDOMRANDOM,put,100,10,42,58817.0
TWOCOND,RANDOMRANDOM,put,100,10,43,60609.0
TWOCOND,RANDOMRANDOM,put,100,10,44,62411.0
TWOCOND,RANDOMRANDOM,put,100,10,45,64848.0
TWOCOND,RANDOMRANDOM,put,100,10,46,65853.0
TWOCOND,RANDOMRANDOM,put,100,10,47,67744.0
TWOCOND,RANDOMRANDOM,put,100,10,48,69797.0
TWOCOND,RANDOMRANDOM,put,100,10,49,71650.0
TWOCOND,RANDOMRANDOM,put,100,10,50,74298.0
TWOCOND,RANDOMRANDOM,put,100,10,51,76048.0
TWOCOND,RANDOMRANDOM,put,100,10,52,78616.0
TWOCOND,RANDOMRANDOM,put,100,10,53,79911.0
TWOCOND,RANDOMRANDOM,put,100,10,54,83126.0
TWOCOND,RANDOMRANDOM,put,100,10,55,84805.0
TWOCOND,RANDOMRANDOM,put,100,10,56,86411.0
TWOCOND,RANDOMRANDOM,put,100,10,57,88211.0
TWOCOND,RANDOMRANDOM,put,100,10,58,91259.0
TWOCOND,RANDOMRANDOM,put,100,10,59,93920.0
TWOCOND,RANDOMRANDOM,put,100,10,60,96040.0
TWOCOND,RANDOMRANDOM,put,100,10,61,98909.0
TWOCOND,RANDOMRANDOM,put,100,10,62,99652.0
TWOCOND,RANDOMRANDOM,put,100,10,63,102831.0
TWOCOND,RANDOMRANDOM,put,100,10,64,104862.0
TWOCOND,RANDOMRANDOM,put,100,10,65,106536.0
TWOCOND,RANDOMRANDOM,put,100,10,66,108594.0
TWOCOND,RANDOMRANDOM,put,100,10,67,112175.0
TWOCOND,RANDOMRANDOM,put,100,10,68,115029.0
TWOCOND,RANDOMRANDOM,put,100,10,69,117159.0
TWOCOND,RANDOMRANDOM,put,100,10,70,119392.0
TWOCOND,RANDOMRANDOM,put,100,10,71,121836.0
TWOCOND,RANDOMRANDOM,put,100,10,72,124620.0
TWOCOND,RANDOMRANDOM,put,100,10,73,127305.0
TWOCOND,RANDOMRANDOM,put,100,10,74,129875.0
TWOCOND,RANDOMRANDOM,put,100,10,75,132696.0
TWOCOND,RANDOMRANDOM,put,100,10,76,134348.0
TWOCOND,RANDOMRANDOM,put,100,10,77,136780.0
TWOCOND,RANDOMRANDOM,put,100,10,78,139421.0
TWOCOND,RANDOMRANDOM,put,100,10,79,140885.0
TWOCOND,RANDOMRANDOM,put,100,10,80,143674.0
TWOCOND,RANDOMRANDOM,put,100,10,81,145831.0
TWOCOND,RANDOMRANDOM,put,100,10,82,147966.0
TWOCOND,RANDOMRANDOM,put,100,10,83,148521.0
TWOCOND,RANDOMRANDOM,put,100,10,84,152670.0
TWOCOND,RANDOMRANDOM,put,100,10,85,154668.0
TWOCOND,RANDOMRANDOM,put,100,10,86,158620.0
TWOCOND,RANDOMRANDOM,put,100,10,87,161164.0
TWOCOND,RANDOMRANDOM,put,100,10,88,162794.0
TWOCOND,RANDOMRANDOM,put,100,10,89,166197.0
TWOCOND,RANDOMRANDOM,put,100,10,90,167143.0
TWOCOND,RANDOMRANDOM,put,100,10,91,169523.0
TWOCOND,RANDOMRANDOM,put,100,10,92,172378.0
TWOCOND,RANDOMRANDOM,put,100,10,93,172837.0
TWOCOND,RANDOMRANDOM,put,100,10,94,174500.0
TWOCOND,RANDOMRANDOM,put,100,10,95,175321.0
TWOCOND,RANDOMRANDOM,put,100,10,96,177845.0
TWOCOND,RANDOMRANDOM,put,100,10,97,179715.0
TWOCOND,RANDOMRANDOM,put,100,10,98,182609.0
TWOCOND,RANDOMRANDOM,put,100,10,99,184260.0
TWOCOND,SECURERANDOM,take,100,10,1,2804.0
TWOCOND,SECURERANDOM,take,100,10,2,4000.0
TWOCOND,SECURERANDOM,take,100,10,3,5159.0
TWOCOND,SECURERANDOM,take,100,10,4,6932.0
TWOCOND,SECURERANDOM,take,100,10,5,7561.0
TWOCOND,SECURERANDOM,take,100,10,6,9106.0
TWOCOND,SECURERANDOM,take,100,10,7,10165.0
TWOCOND,SECURERANDOM,take,100,10,8,11346.0
TWOCOND,SECURERANDOM,take,100,10,9,12605.0
TWOCOND,SECURERANDOM,take,100,10,10,13889.0
TWOCOND,SECURERANDOM,take,100,10,11,15496.0
TWOCOND,SECURERANDOM,take,100,10,12,16904.0
TWOCOND,SECURERANDOM,take,100,10,13,18836.0
TWOCOND,SECURERANDOM,take,100,10,14,19296.0
TWOCOND,SECURERANDOM,take,100,10,15,20640.0
TWOCOND,SECURERANDOM,take,100,10,16,22038.0
TWOCOND,SECURERANDOM,take,100,10,17,23843.0
TWOCOND,SECURERANDOM,take,100,10,18,24875.0
TWOCOND,SECURERANDOM,take,100,10,19,26926.0
TWOCOND,SECURERANDOM,take,100,10,20,27661.0
TWOCOND,SECURERANDOM,take,100,10,21,29723.0
TWOCOND,SECURERANDOM,take,100,10,22,30799.0
TWOCOND,SECURERANDOM,take,100,10,23,31898.0
TWOCOND,SECURERANDOM,take,100,10,24,33735.0
TWOCOND,SECURERANDOM,take,100,10,25,35466.0
TWOCOND,SECURERANDOM,take,100,10,26,37059.0
TWOCOND,SECURERANDOM,take,100,10,27,38722.0
