bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,executions
FOURCOND,RANDOMRANDOM,take,100,10,3,1109842
FOURCOND,RANDOMRANDOM,take,100,10,4,1176995
FOURCOND,RANDOMRANDOM,take,100,10,5,1139837
FOURCOND,RANDOMRANDOM,take,100,10,6,973762
FOURCOND,RANDOMRANDOM,take,100,10,7,1233096
FOURCOND,RANDOMRANDOM,take,100,10,8,1195749
FOURCOND,RANDOMRANDOM,take,100,10,9,1222824
FOURCOND,SECURERANDOM,put,100,10,0,996124
FOURCOND,SECURERANDOM,put,100,10,1,1134989
FOURCOND,SECURERANDOM,put,100,10,2,1052813
FOURCOND,SECURERANDOM,put,100,10,3,1031980
FOURCOND,SECURERANDOM,put,100,10,4,1002538
FOURCOND,SECURERANDOM,put,100,10,5,996532
FOURCOND,SECURERANDOM,put,100,10,6,1023640
FOURCOND,SECURERANDOM,put,100,10,7,1065010
FOURCOND,SECURERANDOM,put,100,10,8,1048062
FOURCOND,SECURERANDOM,put,100,10,9,1034704
FOURCOND,SECURERANDOM,take,100,10,0,1060917
FOURCOND,SECURERANDOM,take,100,10,1,1026320
FOURCOND,SECURERANDOM,take,100,10,2,1023482
FOURCOND,SECURERANDOM,take,100,10,3,1073360
FOURCOND,SECURERANDOM,take,100,10,4,1048865
FOURCOND,SECURERANDOM,take,100,10,5,996621
FOURCOND,SECURERANDOM,take,100,10,6,984255
FOURCOND,SECURERANDOM,take,100,10,7,1107760
FOURCOND,SECURERANDOM,take,100,10,8,1044977
FOURCOND,SECURERANDOM,take,100,10,9,1022315
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,0,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,1,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,2,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,3,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,4,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,5,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,6,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,7,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,8,0
FOURCONDHASWAITERS,RANDOMRANDOM,put,100,10,9,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,0,1
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,1,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,2,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,3,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,4,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,5,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,6,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,7,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,8,0
FOURCONDHASWAITERS,RANDOMRANDOM,take,100,10,9,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,0,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,1,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,2,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,3,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,4,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,5,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,6,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,7,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,8,0
FOURCONDHASWAITERS,SECURERANDOM,put,100,10,9,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,0,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,1,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,2,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,3,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,4,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,5,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,6,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,7,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,8,0
FOURCONDHASWAITERS,SECURERANDOM,take,100,10,9,0
