bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,meanTime
TWOCOND,RANDOMRANDOM,take,100,10,91,163210.0
TWOCOND,RANDOMRANDOM,take,100,10,92,165812.0
TWOCOND,RANDOMRANDOM,take,100,10,93,168029.0
TWOCOND,RANDOMRANDOM,take,100,10,94,170161.0
TWOCOND,RANDOMRANDOM,take,100,10,95,172982.0
TWOCOND,RANDOMRANDOM,take,100,10,96,176249.0
TWOCOND,RANDOMRANDOM,take,100,10,97,175341.0
TWOCOND,RANDOMRANDOM,take,100,10,98,178215.0
TWOCOND,RANDOMRANDOM,take,100,10,99,176924.0
TWOCOND,RANDOMRANDOM,take,100,10,100,183022.0
TWOCOND,RANDOMRANDOM,put,100,10,2,1458.0
TWOCOND,RANDOMRANDOM,put,100,10,3,2542.0
TWOCOND,RANDOMRANDOM,put,100,10,4,3725.0
TWOCOND,RANDOMRANDOM,put,100,10,5,4957.0
TWOCOND,RANDOMRANDOM,put,100,10,6,5932.0
TWOCOND,RANDOMRANDOM,put,100,10,7,7180.0
TWOCOND,RANDOMRANDOM,put,100,10,8,8069.0
TWOCOND,RANDOMRANDOM,put,100,10,9,9646.0
TWOCOND,RANDOMRANDOM,put,100,10,10,10675.0
TWOCOND,RANDOMRANDOM,put,100,10,11,12029.0
TWOCOND,RANDOMRANDOM,put,100,10,12,12920.0
TWOCOND,RANDOMRANDOM,put,100,10,13,14054.0
TWOCOND,RANDOMRANDOM,put,100,10,14,15043.0
TWOCOND,RANDOMRANDOM,put,100,10,15,16245.0
TWOCOND,RANDOMRANDOM,put,100,10,16,17967.0
TWOCOND,RANDOMRANDOM,put,100,10,17,19005.0
TWOCOND,RANDOMRANDOM,put,100,10,18,20792.0
TWOCOND,RANDOMRANDOM,put,100,10,19,21650.0
TWOCOND,RANDOMRANDOM,put,100,10,20,23215.0
TWOCOND,RANDOMRANDOM,put,100,10,21,24029.0
TWOCOND,RANDOMRANDOM,put,100,10,22,25645.0
TWOCOND,RANDOMRANDOM,put,100,10,23,27108.0
TWOCOND,RANDOMRANDOM,put,100,10,24,27767.0
TWOCOND,RANDOMRANDOM,put,100,10,25,29408.0
TWOCOND,RANDOMRANDOM,put,100,10,26,31165.0
TWOCOND,RANDOMRANDOM,put,100,10,27,32627.0
TWOCOND,RANDOMRANDOM,put,100,10,28,34475.0
TWOCOND,RANDOMRANDOM,put,100,10,29,35139.0
TWOCOND,RANDOMRANDOM,put,100,10,30,36896.0
TWOCOND,RANDOMRANDOM,put,100,10,31,37615.0
TWOCOND,RANDOMRANDOM,put,100,10,32,39488.0
TWOCOND,RANDOMRANDOM,put,100,10,33,40803.0
TWOCOND,RANDOMRANDOM,put,100,10,34,42784.0
TWOCOND,RANDOMRANDOM,put,100,10,35,44429.0
TWOCOND,RANDOMRANDOM,put,100,10,36,46116.0
TWOCOND,RANDOMRANDOM,put,100,10,37,48318.0
TWOCOND,RANDOMRANDOM,put,100,10,38,49371.0
TWOCOND,RANDOMRANDOM,put,100,10,39,50926.0
TWOCOND,RANDOMRANDOM,put,100,10,40,52513.0
TWOCOND,RANDOMRANDOM,put,100,10,41,55194.0
TWOCOND,RANDOMRANDOM,put,100,10,42,55571.0
TWOCOND,RANDOMRANDOM,put,100,10,43,57695.0
TWOCOND,RANDOMRANDOM,put,100,10,44,59263.0
TWOCOND,RANDOMRANDOM,put,100,10,45,61562.0
TWOCOND,RANDOMRANDOM,put,100,10,46,63091.0
TWOCOND,RANDOMRANDOM,put,100,10,47,64280.0
TWOCOND,RANDOMRANDOM,put,100,10,48,66947.0
TWOCOND,RANDOMRANDOM,put,100,10,49,68398.0
TWOCOND,RANDOMRANDOM,put,100,10,50,69485.0
TWOCOND,RANDOMRANDOM,put,100,10,51,73518.0
TWOCOND,RANDOMRANDOM,put,100,10,52,76348.0
TWOCOND,RANDOMRANDOM,put,100,10,53,77223.0
TWOCOND,RANDOMRANDOM,put,100,10,54,79322.0
TWOCOND,RANDOMRANDOM,put,100,10,55,79927.0
TWOCOND,RANDOMRANDOM,put,100,10,56,83038.0
TWOCOND,RANDOMRANDOM,put,100,10,57,85921.0
TWOCOND,RANDOMRANDOM,put,100,10,58,87378.0
TWOCOND,RANDOMRANDOM,put,100,10,59,88125.0
TWOCOND,RANDOMRANDOM,put,100,10,60,91010.0
TWOCOND,RANDOMRANDOM,put,100,10,61,94410.0
TWOCOND,RANDOMRANDOM,put,100,10,62,95969.0
TWOCOND,RANDOMRANDOM,put,100,10,63,97949.0
TWOCOND,RANDOMRANDOM,put,100,10,64,100859.0
TWOCOND,RANDOMRANDOM,put,100,10,65,102079.0
TWOCOND,RANDOMRANDOM,put,100,10,66,104721.0
TWOCOND,RANDOMRANDOM,put,100,10,67,109431.0
TWOCOND,RANDOMRANDOM,put,100,10,68,110737.0
TWOCOND,RANDOMRANDOM,put,100,10,69,113462.0
TWOCOND,RANDOMRANDOM,put,100,10,70,115037.0
TWOCOND,RANDOMRANDOM,put,100,10,71,116194.0
TWOCOND,RANDOMRANDOM,put,100,10,72,119632.0
TWOCOND,RANDOMRANDOM,put,100,10,73,121391.0
TWOCOND,RANDOMRANDOM,put,100,10,74,124888.0
TWOCOND,RANDOMRANDOM,put,100,10,75,127325.0
TWOCOND,RANDOMRANDOM,put,100,10,76,129586.0
TWOCOND,RANDOMRANDOM,put,100,10,77,130914.0
TWOCOND,RANDOMRANDOM,put,100,10,78,134044.0
TWOCOND,RANDOMRANDOM,put,100,10,79,136508.0
TWOCOND,RANDOMRANDOM,put,100,10,80,138798.0
TWOCOND,RANDOMRANDOM,put,100,10,81,141614.0
TWOCOND,RANDOMRANDOM,put,100,10,82,143463.0
TWOCOND,RANDOMRANDOM,put,100,10,83,145545.0
TWOCOND,RANDOMRANDOM,put,100,10,84,147596.0
TWOCOND,RANDOMRANDOM,put,100,10,85,149990.0
TWOCOND,RANDOMRANDOM,put,100,10,86,152703.0
TWOCOND,RANDOMRANDOM,put,100,10,87,155745.0
TWOCOND,RANDOMRANDOM,put,100,10,88,157711.0
TWOCOND,RANDOMRANDOM,put,100,10,89,160446.0
TWOCOND,RANDOMRANDOM,put,100,10,90,160961.0
TWOCOND,RANDOMRANDOM,put,100,10,91,163189.0
TWOCOND,RANDOMRANDOM,put,100,10,92,165634.0
TWOCOND,RANDOMRANDOM,put,100,10,93,168811.0
TWOCOND,RANDOMRANDOM,put,100,10,94,169156.0
TWOCOND,RANDOMRANDOM,put,100,10,95,170699.0
TWOCOND,RANDOMRANDOM,put,100,10,96,172866.0
TWOCOND,RANDOMRANDOM,put,100,10,97,174473.0
TWOCOND,RANDOMRANDOM,put,100,10,98,176979.0
TWOCOND,RANDOMRANDOM,put,100,10,99,178961.0
TWOCOND,RANDOMRANDOM,put,100,10,100,181056.0
TWOCOND,SECURERANDOM,take,100,10,2,3331.0
TWOCOND,SECURERANDOM,take,100,10,3,4888.0
TWOCOND,SECURERANDOM,take,100,10,4,5902.0
TWOCOND,SECURERANDOM,take,100,10,5,7194.0
TWOCOND,SECURERANDOM,take,100,10,6,8482.0
TWOCOND,SECURERANDOM,take,100,10,7,10094.0
TWOCOND,SECURERANDOM,take,100,10,8,11441.0
TWOCOND,SECURERANDOM,take,100,10,9,12411.0
TWOCOND,SECURERANDOM,take,100,10,10,14126.0
TWOCOND,SECURERANDOM,take,100,10,11,15619.0
TWOCOND,SECURERANDOM,take,100,10,12,17643.0
TWOCOND,SECURERANDOM,take,100,10,13,18065.0
TWOCOND,SECURERANDOM,take,100,10,14,20155.0
TWOCOND,SECURERANDOM,take,100,10,15,21093.0
TWOCOND,SECURERANDOM,take,100,10,16,22922.0
TWOCOND,SECURERANDOM,take,100,10,17,24298.0
TWOCOND,SECURERANDOM,take,100,10,18,25469.0
TWOCOND,SECURERANDOM,take,100,10,19,27255.0
TWOCOND,SECURERANDOM,take,100,10,20,28639.0
TWOCOND,SECURERANDOM,take,100,10,21,30273.0
TWOCOND,SECURERANDOM,take,100,10,22,32886.0
TWOCOND,SECURERANDOM,take,100,10,23,33718.0
TWOCOND,SECURERANDOM,take,100,10,24,34943.0
TWOCOND,SECURERANDOM,take,100,10,25,37202.0
TWOCOND,SECURERANDOM,take,100,10,26,38260.0
TWOCOND,SECURERANDOM,take,100,10,27,40129.0
TWOCOND,SECURERANDOM,take,100,10,28,41920.0
TWOCOND,SECURERANDOM,take,100,10,29,43547.0
TWOCOND,SECURERANDOM,take,100,10,30,45939.0
TWOCOND,SECURERANDOM,take,100,10,31,47712.0
TWOCOND,SECURERANDOM,take,100,10,32,49862.0
TWOCOND,SECURERANDOM,take,100,10,33,50975.0
TWOCOND,SECURERANDOM,take,100,10,34,52436.0
TWOCOND,SECURERANDOM,take,100,10,35,54562.0
TWOCOND,SECURERANDOM,take,100,10,36,57493.0
TWOCOND,SECURERANDOM,take,100,10,37,58149.0
TWOCOND,SECURERANDOM,take,100,10,38,59281.0
TWOCOND,SECURERANDOM,take,100,10,39,61220.0
TWOCOND,SECURERANDOM,take,100,10,40,64171.0
TWOCOND,SECURERANDOM,take,100,10,41,67237.0
TWOCOND,SECURERANDOM,take,100,10,42,66349.0
TWOCOND,SECURERANDOM,take,100,10,43,70947.0
TWOCOND,SECURERANDOM,take,100,10,44,71401.0
TWOCOND,SECURERANDOM,take,100,10,45,73313.0
TWOCOND,SECURERANDOM,take,100,10,46,75682.0
TWOCOND,SECURERANDOM,take,100,10,47,78649.0
TWOCOND,SECURERANDOM,take,100,10,48,80753.0
TWOCOND,SECURERANDOM,take,100,10,49,82927.0
TWOCOND,SECURERANDOM,take,100,10,50,85418.0
TWOCOND,SECURERANDOM,take,100,10,51,87108.0
TWOCOND,SECURERANDOM,take,100,10,52,88244.0
TWOCOND,SECURERANDOM,take,100,10,53,90928.0
TWOCOND,SECURERANDOM,take,100,10,54,93237.0
TWOCOND,SECURERANDOM,take,100,10,55,95045.0
TWOCOND,SECURERANDOM,take,100,10,56,97926.0
TWOCOND,SECURERANDOM,take,100,10,57,99660.0
TWOCOND,SECURERANDOM,take,100,10,58,101523.0
TWOCOND,SECURERANDOM,take,100,10,59,103575.0
TWOCOND,SECURERANDOM,take,100,10,60,106583.0
TWOCOND,SECURERANDOM,take,100,10,61,108971.0
TWOCOND,SECURERANDOM,take,100,10,62,110710.0
TWOCOND,SECURERANDOM,take,100,10,63,113872.0
TWOCOND,SECURERANDOM,take,100,10,64,116341.0
TWOCOND,SECURERANDOM,take,100,10,65,117862.0
TWOCOND,SECURERANDOM,take,100,10,66,121884.0
TWOCOND,SECURERANDOM,take,100,10,67,121149.0
TWOCOND,SECURERANDOM,take,100,10,68,124109.0
TWOCOND,SECURERANDOM,take,100,10,69,129039.0
TWOCOND,SECURERANDOM,take,100,10,70,129323.0
TWOCOND,SECURERANDOM,take,100,10,71,132487.0
TWOCOND,SECURERANDOM,take,100,10,72,134238.0
TWOCOND,SECURERANDOM,take,100,10,73,137898.0
TWOCOND,SECURERANDOM,take,100,10,74,139327.0
TWOCOND,SECURERANDOM,take,100,10,75,141070.0
TWOCOND,SECURERANDOM,take,100,10,76,144777.0
TWOCOND,SECURERANDOM,take,100,10,77,145554.0
TWOCOND,SECURERANDOM,take,100,10,78,147673.0
TWOCOND,SECURERANDOM,take,100,10,79,151421.0
TWOCOND,SECURERANDOM,take,100,10,80,153626.0
TWOCOND,SECURERANDOM,take,100,10,81,155617.0
TWOCOND,SECURERANDOM,take,100,10,82,156832.0
TWOCOND,SECURERANDOM,take,100,10,83,159690.0
TWOCOND,SECURERANDOM,take,100,10,84,162578.0
TWOCOND,SECURERANDOM,take,100,10,85,165304.0
TWOCOND,SECURERANDOM,take,100,10,86,166569.0
TWOCOND,SECURERANDOM,take,100,10,87,167641.0
TWOCOND,SECURERANDOM,take,100,10,88,171513.0
TWOCOND,SECURERANDOM,take,100,10,89,175106.0
TWOCOND,SECURERANDOM,take,100,10,90,174924.0
TWOCOND,SECURERANDOM,take,100,10,91,176099.0
TWOCOND,SECURERANDOM,take,100,10,92,180760.0
TWOCOND,SECURERANDOM,take,100,10,93,182522.0
TWOCOND,SECURERANDOM,take,100,10,94,183953.0
TWOCOND,SECURERANDOM,take,100,10,95,184584.0
TWOCOND,SECURERANDOM,take,100,10,96,187506.0
TWOCOND,SECURERANDOM,take,100,10,97,190097.0
TWOCOND,SECURERANDOM,take,100,10,98,192073.0
TWOCOND,SECURERANDOM,take,100,10,99,192122.0
TWOCOND,SECURERANDOM,take,100,10,100,194545.0
TWOCOND,SECURERANDOM,put,100,10,2,3348.0
TWOCOND,SECURERANDOM,put,100,10,3,4632.0
TWOCOND,SECURERANDOM,put,100,10,4,6076.0
TWOCOND,SECURERANDOM,put,100,10,5,7412.0
TWOCOND,SECURERANDOM,put,100,10,6,8406.0
TWOCOND,SECURERANDOM,put,100,10,7,9856.0
TWOCOND,SECURERANDOM,put,100,10,8,11286.0
TWOCOND,SECURERANDOM,put,100,10,9,12898.0
TWOCOND,SECURERANDOM,put,100,10,10,13796.0
TWOCOND,SECURERANDOM,put,100,10,11,15916.0
TWOCOND,SECURERANDOM,put,100,10,12,17083.0
TWOCOND,SECURERANDOM,put,100,10,13,18263.0
